P/No,Watt,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Torque_division,shape_division
4681A20172S,124,1907,7,0.35,43,320,30,104,8,8~20,C
4681A20172X,124,1907,7,0.35,43,320,30,104,8,8~20,C
4681A20172Y,124,2047,7,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,2051,7,0.4,37.2,300,36,104,8,8~20,C
EAU63483801,124,2015,7,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,2015,7,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,1519,8,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,1519,8,0.35,48.8,350,30,104,8,8~20,C
4681A20172Y,124,1861,8,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,1858,8,0.4,37.2,300,36,104,8,8~20,C
EAU62244101,250,1216,8,0.41,20.9,205,30.5,102,8,8~20,C
EAU62244102,250,1216,8,0.41,20.9,205,30.5,102,8,8~20,C
EAU63483801,124,1822,8,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,1822,8,0.35,43,320,30,104,8,8~20,C
EAU31898201,124,1160,8.2,0.4,37,294,35,94,8,8~20,C
EAU39857401,400,2770,8.2,0.62,7.16,175,18,135,8,8~20,C
EAU62903306,195,2434,8.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,2434,8.2,0.47,20.6,210,41,104,8,8~20,C
EAU62903306,195,2434,8.2,0.47,20.6,210,41,104,8,8~20,C
